ID,NOMBRE_JUGADOR,POS,EQUIPO,LINK_JUGADOR,MINUTOS,GOLES,GOLES/90 HIST,MINUTOS ULT 3,GOLES ULT 3,GOLES/90 ULT 3,MINUTOS 2025,GOLES 2025,GOLES/90 2025
421718,Luca Sosa,DEF,Newell's Old Boys,https://www.transfermarkt.es/luca-sosa/profil/spieler/421718,21649,8,0.03,9666,2,0.02,240,0,0.0
353035,Saúl Salcedo,DEF,Newell's Old Boys,https://www.transfermarkt.es/saul-salcedo/profil/spieler/353035,18954,7,0.03,8415,4,0.04,748,0,0.0
104326,Victor Cuesta,DEF,Newell's Old Boys,https://www.transfermarkt.es/victor-cuesta/profil/spieler/104326,47617,30,0.06,10939,8,0.07,360,0,0.0
76153,Luciano Lollo,DEF,Newell's Old Boys,https://www.transfermarkt.es/luciano-lollo/profil/spieler/76153,34950,26,0.07,9324,5,0.05,558,0,0.0
471641,Ángelo Martino,DEF,Newell's Old Boys,https://www.transfermarkt.es/angelo-martino/profil/spieler/471641,11981,7,0.05,6568,2,0.03,-,0,0.0
883670,Martín Luciano,DEF,Newell's Old Boys,https://www.transfermarkt.es/martin-luciano/profil/spieler/883670,3498,0,0.0,3479,0,0.0,164,0,0.0
830111,Brian Calderara,DEF,Newell's Old Boys,https://www.transfermarkt.es/brian-calderara/profil/spieler/830111,6590,2,0.03,5054,2,0.04,57,0,0.0
756988,Alejo Tabares,DEF,Newell's Old Boys,https://www.transfermarkt.es/alejo-tabares/profil/spieler/756988,5613,0,0.0,5582,0,0.0,589,0,0.0
649998,Alejo Montero,DEF,Newell's Old Boys,https://www.transfermarkt.es/alejo-montero/profil/spieler/649998,12318,9,0.07,8113,5,0.06,575,0,0.0
950131,Tomás Jacob,DEF,Newell's Old Boys,https://www.transfermarkt.es/tomas-jacob/profil/spieler/950131,3204,0,0.0,2889,0,0.0,526,0,0.0
508134,Juan Ignacio Méndez,VOL,Newell's Old Boys,https://www.transfermarkt.es/juan-ignacio-mendez/profil/spieler/508134,11648,6,0.05,5368,3,0.05,98,0,0.0
12249,Éver Banega,VOL,Newell's Old Boys,https://www.transfermarkt.es/ever-banega/profil/spieler/12249,50525,72,0.13,6841,8,0.11,722,1,0.12
1061839,David Sotelo,VOL,Newell's Old Boys,https://www.transfermarkt.es/david-sotelo/profil/spieler/1061839,1002,0,0.0,1002,0,0.0,344,0,0.0
1328380,Luca Regiardo,VOL,Newell's Old Boys,https://www.transfermarkt.es/luca-regiardo/profil/spieler/1328380,1135,0,0.0,1135,0,0.0,705,0,0.0
441385,Gonzalo Maroni,VOL,Newell's Old Boys,https://www.transfermarkt.es/gonzalo-maroni/profil/spieler/441385,7705,16,0.19,4888,8,0.15,555,1,0.16
978974,Lisandro Montenegro,VOL,Newell's Old Boys,https://www.transfermarkt.es/lisandro-montenegro/profil/spieler/978974,1412,1,0.06,1412,1,0.06,-,0,0.0
730802,Luciano Herrera,DEL,Newell's Old Boys,https://www.transfermarkt.es/luciano-herrera/profil/spieler/730802,10479,22,0.19,7935,12,0.14,350,1,0.26
491598,Fernando Cardozo,DEL,Newell's Old Boys,https://www.transfermarkt.es/fernando-cardozo/profil/spieler/491598,12669,21,0.15,9671,16,0.15,366,0,0.0
1213080,Mateo Silvetti,DEL,Newell's Old Boys,https://www.transfermarkt.es/mateo-silvetti/profil/spieler/1213080,3498,8,0.21,3498,8,0.21,807,2,0.22
1192376,Giovani Chiaverano,DEL,Newell's Old Boys,https://www.transfermarkt.es/giovani-chiaverano/profil/spieler/1192376,1270,6,0.43,1270,6,0.43,143,0,0.0
366620,Carlos González,DEL,Newell's Old Boys,https://www.transfermarkt.es/carlos-gonzalez/profil/spieler/366620,24147,98,0.37,6873,27,0.35,965,2,0.19
457244,Juan Manuel García,DEL,Newell's Old Boys,https://www.transfermarkt.es/juan-manuel-garcia/profil/spieler/457244,14239,58,0.37,7036,24,0.31,376,0,0.0
294843,Thiago Cardozo,ARQ,Unión (Santa Fe),https://www.transfermarkt.es/thiago-cardozo/profil/spieler/294843,8736,0,0.0,6872,0,0.0,897,0,0.0
552638,Matías Tagliamonte,ARQ,Unión (Santa Fe),https://www.transfermarkt.es/matias-tagliamonte/profil/spieler/552638,4807,0,0.0,4357,0,0.0,90,0,0.0
1118707,Lucas Meuli,ARQ,Unión (Santa Fe),https://www.transfermarkt.es/lucas-meuli/profil/spieler/1118707,1080,0,0.0,1080,0,0.0,-,0,0.0
720716,Franco Pardo,DEF,Unión (Santa Fe),https://www.transfermarkt.es/franco-pardo/profil/spieler/720716,11836,8,0.06,8316,6,0.06,855,0,0.0
991132,Nicolás Paz,DEF,Unión (Santa Fe),https://www.transfermarkt.es/nicolas-paz/profil/spieler/991132,4897,0,0.0,4897,0,0.0,304,0,0.0
1149559,Valentín Fascendini,DEF,Unión (Santa Fe),https://www.transfermarkt.es/valentin-fascendini/profil/spieler/1149559,1815,0,0.0,1815,0,0.0,157,0,0.0
1103988,Juan Pablo Ludueña,DEF,Unión (Santa Fe),https://www.transfermarkt.es/juan-pablo-luduena/profil/spieler/1103988,1520,0,0.0,1520,0,0.0,307,0,0.0
1158799,Rafael Profini,VOL,Unión (Santa Fe),https://www.transfermarkt.es/rafael-profini/profil/spieler/1158799,1541,0,0.0,1541,0,0.0,452,0,0.0
984529,Mateo Del Blanco,VOL,Unión (Santa Fe),https://www.transfermarkt.es/mateo-del-blanco/profil/spieler/984529,2910,1,0.03,2910,1,0.03,817,0,0.0
395216,Bruno Pittón,DEF,Unión (Santa Fe),https://www.transfermarkt.es/bruno-pitton/profil/spieler/395216,17147,18,0.09,5721,6,0.09,239,0,0.0
125108,Claudio Corvalán,DEF,Unión (Santa Fe),https://www.transfermarkt.es/claudio-corvalan/profil/spieler/125108,35907,11,0.03,10569,2,0.02,810,0,0.0
1159650,Lautaro Vargas,DEF,Unión (Santa Fe),https://www.transfermarkt.es/lautaro-vargas/profil/spieler/1159650,2147,0,0.0,2147,0,0.0,241,0,0.0
745789,Francisco Gerometta,DEF,Unión (Santa Fe),https://www.transfermarkt.es/francisco-gerometta/profil/spieler/745789,6124,0,0.0,3380,0,0.0,749,0,0.0
376710,Mauro Pittón,VOL,Unión (Santa Fe),https://www.transfermarkt.es/mauro-pitton/profil/spieler/376710,20989,10,0.04,10905,5,0.04,628,0,0.0
309388,Mauricio Martínez,VOL,Unión (Santa Fe),https://www.transfermarkt.es/mauricio-martinez/profil/spieler/309388,17873,17,0.09,5505,5,0.08,433,0,0.0
321612,Ezequiel Ham,VOL,Unión (Santa Fe),https://www.transfermarkt.es/ezequiel-ham/profil/spieler/321612,9613,9,0.08,6037,7,0.1,602,1,0.15
1171409,Lionel Verde,VOL,Unión (Santa Fe),https://www.transfermarkt.es/lionel-verde/profil/spieler/1171409,1580,5,0.28,1580,5,0.28,403,3,0.67
728262,Julián Palacios,VOL,Unión (Santa Fe),https://www.transfermarkt.es/julian-palacios/profil/spieler/728262,7665,5,0.06,5504,4,0.07,661,0,0.0
226005,Franco Fragapane,DEL,Unión (Santa Fe),https://www.transfermarkt.es/franco-fragapane/profil/spieler/226005,22171,52,0.21,5334,11,0.19,447,1,0.2
1103986,Jerónimo Dómina,DEL,Unión (Santa Fe),https://www.transfermarkt.es/jeronimo-domina/profil/spieler/1103986,3356,11,0.29,3356,11,0.29,425,1,0.21
610266,Marcelo Estigarribia,DEL,Unión (Santa Fe),https://www.transfermarkt.es/marcelo-estigarribia/profil/spieler/610266,14126,52,0.33,7699,26,0.3,835,2,0.22
842808,Agustín Colazo,DEL,Unión (Santa Fe),https://www.transfermarkt.es/agustin-colazo/profil/spieler/842808,6593,21,0.29,6372,20,0.28,374,0,0.0
